,track_id,track_name,artists,track_genre,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,50TRPsBbK34h5ffGhq550L,Quality Seconds,Orbital,breakbeat,13,0.449,0.999,9,-4.976,1,0.0743,0.00251,0.648,0.0441,0.777,176.651,4
1,18cCBvygH6yEFDY0cYN3wT,Divinity,Porter Robinson;Amy Millan,dub,54,0.496,0.55,2,-5.418,1,0.034,0.00755,0.0122,0.0814,0.144,90.036,4
2,5QvhLL9S361pUFprk2igmw,Feel It Boy,Beenie Man;Janet Jackson,j-dance,20,0.834,0.665,5,-3.176,0,0.0985,0.164,0.0,0.0679,0.954,102.786,4
3,58OPCce8rzYv2PF9uhpK1T,Um Novo Lugar,Mato Seco;Nazireu Rupestre,brazil,43,0.796,0.491,5,-7.783,1,0.0428,0.0483,0.0,0.346,0.888,124.042,4
4,7izpDsmH5Hpxrx4s5OXITu,"護航 - (劇集 ""西遊記"" 片尾曲)",Alfred Hui,cantopop,21,0.521,0.58,9,-7.567,1,0.049,0.626,0.0,0.0917,0.344,139.826,4
5,5ZidHDu7QzIDYknkBQlYw1,Strike,Ben Lukas Boysen;Paul Emmerich;Qasim Naqvi,idm,12,0.435,0.271,10,-22.603,1,0.0568,0.858,0.958,0.102,0.0725,120.02,3
6,0U6rFNfrKdYd8IklLJpk1T,流星雨,F4,mandopop,38,0.554,0.414,4,-9.968,1,0.027,0.142,0.0,0.0806,0.177,136.045,4
7,2xt2piJx6jlFkjS77YiqpL,Like a Stone,Audioslave,grunge,47,0.614,0.568,7,-5.477,0,0.0276,0.00797,0.0,0.0997,0.516,107.849,4
8,00XuSVTS9KiAZzgaQJiEGZ,Sho Wasn't Me,Ronnie Lovejoy,blues,31,0.743,0.5,4,-8.118,0,0.033,0.271,1.6e-05,0.0902,0.666,153.71,4
9,22WSNwrytkJZ9hnis9DbnY,Christmas Without You,OneRepublic,rock,0,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3
10,6IoGtLneWHFg8xohLZGHXK,当たり障りのない話,Nogizaka46,j-idol,27,0.541,0.881,9,-3.32,1,0.0745,0.397,0.0,0.167,0.658,75.073,4
11,1CG1MiuZuEASV4Bj8QJEj3,Mein neues Sortiment,Jubiläumscast Wien 2012,show-tunes,22,0.362,0.493,10,-11.106,0,0.0881,0.485,1.84e-05,0.198,0.359,132.33,4
12,2lAC83w4MoLCgzq8G5RFPF,Higher - FJAAK Remix,Amelie Lens;FJAAK,minimal-techno,44,0.747,0.749,8,-9.437,1,0.054,0.00708,0.906,0.111,0.0446,135.986,4
13,0bfAKG9tA9d6ExXSSJ5Gtu,"Ei rautoihin, ei lautoihin",Tehosekoitin,punk,38,0.28,0.971,7,-4.719,1,0.0836,0.0046,0.0,0.44,0.518,164.417,4
14,0hcvwkxhxlIRdeLb1dWJBT,Зима в сердце,Moya Mishel,synth-pop,46,0.648,0.761,5,-5.1,0,0.0372,0.102,0.0,0.229,0.602,108.105,4
15,1hNb2eDg25jGC5rCQS1OwY,Summer Rain,Woesum;Yung Lean,club,51,0.662,0.717,4,-5.211,1,0.274,0.628,6.66e-06,0.427,0.689,169.853,4
16,0c9wSzwT33NaUlJNy1z0jh,La Nueva Y La Ex,Daddy Yankee,latin,0,0.639,0.943,5,-3.542,1,0.136,0.0462,0.0,0.141,0.639,198.051,4
17,3K2js6iGwWiAoMpCkuJG7M,Buktikan,Yura Yunita,jazz,39,0.771,0.664,8,-3.825,1,0.0443,0.172,0.000114,0.0926,0.672,96.965,4
18,7EyhPjrJzjx0fk2i7vUJCS,Pink Venom,BLACKPINK,pop,85,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016,4
19,5hanjUnxdrDSrQX40ZI6Kg,"That's Good, That's Bad (with Lacy J. Dalton)",George Jones;Lacy J. Dalton,honky-tonk,12,0.529,0.207,1,-14.174,1,0.0279,0.251,0.0,0.103,0.387,85.573,3
20,3BlCwgDsg0FYDfsZuYz7CD,Two Generals,Dub Pistols;Ragga Twins,breakbeat,14,0.532,0.948,7,-4.693,1,0.0955,0.00533,0.0,0.148,0.187,175.949,4
21,19oVgnTelqQiilMMdo0uPR,Poema Bobo - Ao Vivo,Juan Marcus & Vinícius;Zé Neto & Cristiano,sertanejo,54,0.623,0.484,0,-7.115,1,0.0566,0.713,0.0,0.582,0.446,139.251,4
22,0XEaupz5HEnclS6VG54HlX,Self Aware,Andrés,hardcore,32,0.557,0.86,5,-5.402,1,0.258,0.28,0.0,0.0658,0.729,79.823,4
23,72rGGvwLxICnDMK4EpyDsv,Let's Go,Nikki and the Corvettes,power-pop,22,0.596,0.763,3,-6.71,1,0.0419,6.49e-05,0.0,0.0427,0.93,111.981,4
24,5Hy3EDlB6E6TbYzu4ul1NQ,O du fröhliche - Instrumental,Traditional;Christoph Israel;Swonderful Orchestra;Catherine Larsen-Maguire,sleep,0,0.177,0.297,5,-10.632,1,0.0362,0.98,0.929,0.0851,0.284,67.931,4
25,11beGBTthT9XhdQXYFkajZ,No More Tears To Cry,Bullet For My Valentine,metalcore,53,0.428,0.939,11,-4.917,0,0.089,2.24e-05,2.89e-05,0.13,0.454,94.972,3
26,5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,Deep Purple,hard-rock,73,0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,4
27,2VnBEeNRiO63NrffCX9Le2,Vayyarala,Karunya,indie,53,0.795,0.649,8,-6.273,0,0.0344,0.242,8.03e-06,0.148,0.856,119.944,4
28,1w2yONa3yfqAHyY5tqFosU,Hi-Five,Superfly,j-rock,33,0.544,0.864,8,-2.104,1,0.0412,0.00163,3.79e-05,0.216,0.694,127.975,4
